posicion,tiempo_lineal,tiempo_binaria,tiempo_galopante
200000,600275,374,372
250000,716228,299,374
300000,851942,384,442
350000,976256,347,502
400000,1141860,372,409
450000,1274617,382,426
500000,1425463,322,429
550000,1559816,405,478
600000,1704948,355,529
650000,1866692,374,462
700000,1969799,345,504
750000,2125596,332,433
800000,2293161,365,460
850000,2402605,359,471
900000,2542282,377,506
950000,2696976,374,433
999999,2837561,268,325
0,76,365,44
50000,156545,370,333
100000,282122,374,379
150000,461500,316,377
200000,579240,313,356
250000,725241,316,428
300000,870989,484,421
350000,1029991,326,408
400000,1145467,358,397
450000,1302283,360,352
500000,1430183,300,412
550000,1574621,396,485
600000,1694827,388,477
650000,1824613,375,445
700000,1972902,377,468
750000,2126736,311,423
800000,2263304,421,615
850000,2432573,512,515
900000,2580919,352,526
950000,2662094,339,391
999999,2802150,256,394
0,81,361,48
50000,158092,388,336
100000,306741,330,325
150000,437636,357,372
200000,602727,363,355
250000,719219,298,360
300000,870379,406,436
350000,1020379,364,513
400000,1144197,382,384
450000,1298130,378,350
500000,1421913,318,438
550000,1589926,410,448
600000,1717855,372,462
650000,1839345,383,444
700000,1998724,374,467
750000,2127490,307,420
800000,2278097,400,436
850000,2412892,338,451
900000,2532580,374,499
950000,2671304,348,420
999999,2811815,274,359
0,82,366,49
50000,154864,365,342
100000,313410,319,325
150000,441576,395,415
200000,580337,442,388
250000,739173,282,374
300000,877468,364,456
350000,999038,355,432
400000,1133751,409,415
450000,1295534,388,372
500000,1439916,287,404
550000,1575759,393,449
600000,1688051,386,463
650000,1887445,521,435
700000,1965333,332,471
750000,2115501,278,473
800000,2272530,384,452
850000,2385359,345,453
900000,2576294,399,551
950000,2709341,397,409
999999,2825466,260,366
0,84,334,47
50000,156298,406,375
100000,323758,419,372
150000,447273,335,386
200000,567703,330,358
250000,738678,311,444
300000,876547,388,432
350000,1010581,389,413
400000,1157133,405,362
450000,1267152,375,348
500000,1411145,307,419
550000,1561844,381,450
600000,1710301,395,481
650000,1861450,361,435
700000,1977031,348,487
750000,2128189,290,492
800000,2260864,392,441
850000,2408237,355,494
900000,2515412,379,459
950000,2691340,385,430
999999,2823501,261,364
0,79,365,42
50000,159942,450,356
100000,298065,400,383
150000,468815,362,370
200000,573060,337,354
250000,771614,305,368
300000,851036,386,481
350000,1005280,372,486
400000,1162582,363,400
450000,1291932,422,382
500000,1420924,293,439
550000,1536101,386,437
600000,1746180,393,467
650000,1858149,364,437
700000,2033747,615,485
750000,2113744,303,437
800000,2273325,392,419
850000,2402410,354,467
900000,2544061,414,460
950000,2686775,376,423
999999,2818533,541,356
